informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.15,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.5,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.4,2
False,0.1,0.5,blue,0.13,2
True,0.5,0.1,blue,0.82,3
False,0.8,0.6,blue,0.8,3
True,0.4,0.3,blue,0.5,4
False,0.8,0.5,blue,0.67,4
True,0.5,0.1,red,0.09,5
False,0.7,0.5,blue,0.64,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.5,6
True,0.6,0.8,blue,0.27,7
False,0.1,0.5,blue,0.11,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.6,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.86,9
True,0.5,0.3,red,0.5,10
False,0.2,0.5,blue,0.11,10
True,0.5,0.7,blue,0.38,11
False,0.7,0.5,red,0.64,11
True,0.5,0.1,red,0.2,12
False,0.1,0.4,red,0.04,12
True,0.4,0.1,red,0.11,13
False,0.7,0.5,blue,0.7,13
True,0.4,0.7,red,0.71,14
False,0.1,0.4,red,0.1,14
True,0.4,0.1,red,0.04,15
False,0.9,0.6,blue,0.93,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.86,16
True,0.4,0.3,blue,0.5,17
False,0.7,0.4,red,0.67,17
True,0.5,0.9,red,0.5,18
False,0.2,0.6,blue,0.17,18
True,0.6,0.7,blue,0.21,19
False,0.3,0.5,blue,0.26,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.15,20
True,0.5,0.7,red,0.25,21
False,0.1,0.5,red,0.01,21
True,0.4,0.1,blue,0.86,22
False,0.7,0.5,blue,0.7,22
True,0.4,0.9,red,0.86,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.98,24
True,0.5,0.2,blue,0.5,25
False,0.2,0.5,blue,0.33,25
True,0.4,0.1,blue,0.86,26
False,0.9,0.6,red,0.93,26
True,0.5,0.9,blue,0.99,27
False,0.8,0.4,blue,0.73,27
True,0.5,0.8,red,0.5,28
False,0.1,0.5,red,0.1,28
True,0.6,0.9,blue,0.14,29
False,0.8,0.5,red,0.67,29
True,0.5,0.9,red,0.82,30
False,0.8,0.4,blue,0.8,30
True,0.4,0.9,blue,0.07,31
False,0.3,0.5,red,0.26,31
True,0.5,0.1,red,0.14,32
False,0.2,0.4,blue,0.14,32
True,0.4,0.3,blue,0.67,33
False,0.8,0.4,blue,0.8,33
True,0.5,0.8,red,0.89,34
False,0.7,0.5,blue,0.54,34
True,0.5,0.2,blue,0.8,35
False,0.8,0.5,red,0.67,35
True,0.4,0.8,blue,0.14,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.78,37
False,0.3,0.5,red,0.26,37
True,0.4,0.2,red,0.14,38
False,0.7,0.5,red,0.64,38
True,0.4,0.3,red,0.16,39
False,0.2,0.6,blue,0.14,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.61,40
True,0.6,0.7,blue,0.39,41
False,0.1,0.4,blue,0.05,41
True,0.6,0.7,blue,0.39,42
False,0.2,0.4,blue,0.14,42
True,0.5,0.2,red,0.33,43
False,0.2,0.6,red,0.21,43
True,0.5,0.3,blue,0.5,44
False,0.3,0.6,blue,0.19,44
True,0.6,0.3,blue,0.6,45
False,0.3,0.4,blue,0.29,45
True,0.5,0.9,blue,0.1,46
False,0.3,0.6,red,0.39,46
True,0.6,0.9,blue,0.13,47
False,0.9,0.5,blue,0.82,47
True,0.6,0.1,blue,0.93,48
False,0.1,0.5,blue,0.09,48
True,0.5,0.8,red,0.8,49
False,0.8,0.6,red,0.31,49
True,0.5,0.7,red,0.65,50
False,0.7,0.6,red,0.22,50
True,0.5,0.2,blue,0.8,51
False,0.9,0.6,red,0.54,51
True,0.5,0.7,red,0.64,52
False,0.7,0.5,red,0.31,52
True,0.5,0.7,blue,0.3,53
False,0.9,0.6,blue,0.41,53
True,0.5,0.3,blue,0.5,54
False,0.2,0.6,red,0.24,54
True,0.5,0.2,red,0.33,55
False,0.3,0.6,blue,0.23,55
True,0.5,0.8,red,0.71,56
False,0.8,0.6,blue,0.73,56
True,0.5,0.1,red,0.45,57
False,0.9,0.6,blue,0.52,57
True,0.5,0.1,red,0.1,58
